,MLSFCDC,VIAT_NM,x,y,gu,dong
5866,서비스산업,"홈플러스익스프레스,연세치과의원,KEB하나은행365코너",126.91787505915579,37.594225705466805,은평구,응암3동
5867,지방행정기관,응암제3동주민센터,126.91573406126491,37.59223518863477,은평구,응암3동
5868,보건시설,소정약국,126.92260153854284,37.6001255191005,은평구,응암1동
5869,숙박시설,샤인힐호텔,126.9201160098242,37.619486611473185,은평구,갈현1동
5870,보건시설,청구프라자약국,126.91914568937688,37.620701559525905,은평구,갈현1동
5871,보건시설,청구성심병원주차타워,126.91938590630751,37.62089914812165,은평구,갈현1동
5872,보건시설,단전한의원,126.91924498401495,37.62207733243293,은평구,갈현1동
5873,숙박시설,아담모텔,126.91938830414918,37.622645017156735,은평구,갈현1동
5874,보건시설,박규현치과의원,126.9276687838943,37.562075280217584,서대문구,연희동
5875,숙박시설,CLEO호스텔,126.92668567970368,37.561389236251465,마포구,서교동
5876,서비스산업,우리은행연희동지점,126.93231821028255,37.568995173834544,서대문구,연희동
5877,보건시설,백명트랜디가지런한치과,126.9177047667684,37.599288723408954,은평구,응암1동
5878,서비스산업,새마을금고(갈현동)지하주차장출입구,126.91647399139474,37.62033558237109,은평구,갈현1동
5879,보건시설,창한의원,126.92685022677905,37.562692574892736,마포구,연남동
5880,보건시설,한영빌딩빛날빈치과,126.92960075132426,37.565487737608464,서대문구,연희동
5881,서비스산업,은혜빌딩신한은행여의도지점,126.92980083212245,37.56582103276095,서대문구,연희동
5882,보건시설,삼전솔하임미소가인피부과의원,126.91736839823386,37.639270405341634,은평구,진관동
5883,보건시설,유정내과의원,126.91888992736835,37.622699220443984,은평구,갈현1동
5884,숙박시설,타오호텔,126.91953505578908,37.62049863551755,은평구,갈현1동
5885,보건시설,강북삼성요양병원,126.92767313486245,37.56612311196086,서대문구,연희동
5886,문화/예술시설,오경빌딩연희예술극장,126.92856658776643,37.5656615122473,서대문구,연희동
5887,보건시설,성가한의원,126.92540964092969,37.56667941799418,서대문구,연희동
5888,보건시설,연희약국,126.9254348546866,37.56658221448132,서대문구,연희동
5889,보건시설,서울정형외과의원,126.92518414018336,37.56665479543396,서대문구,연희동
5890,보건시설,정원빌딩시온한방병원,126.91868158656702,37.59585851387733,은평구,응암3동
5891,보건시설,응암동물병원,126.91834535979513,37.5952788146908,은평구,응암3동
5892,보건시설,미성프라임팰리스아람한약국,126.91846954376979,37.5994408789811,은평구,응암1동
5893,보건시설,서울빌딩서울정형외과,126.91889577783658,37.59530436904586,은평구,응암2동
5894,보건시설,가톨릭대학교은평성모병원별관,126.9123072264244,37.634574377704205,은평구,진관동
5895,보건시설,청구성심병원,126.91970162610097,37.620886537623186,은평구,갈현1동
5896,서비스산업,동진시장,126.92686846827864,37.562295751295,마포구,연남동
5897,보건시설,파밀리안홍의석한의원,126.91577456283544,37.60603930641785,은평구,역촌동
5898,보건시설,서내과의원,126.9151207957753,37.60600064385862,은평구,역촌동
5899,보건시설,서울재활병원별관,126.91565153511463,37.606689797493466,은평구,역촌동
5900,보건시설,에스디빌딩조응휘미치과,126.91558334616316,37.606864650917736,은평구,역촌동
5901,서비스산업,신한은행응암5거리점,126.91752926070728,37.590383972352505,은평구,응암2동
5902,보건시설,미소가득치과,126.92254186403561,37.60630435737012,은평구,역촌동
5903,보건시설,하늘약국,126.923963058253,37.604453994458126,은평구,녹번동
5904,보건시설,카톨릭대학교은평성모병원신축공사현장사무소,126.91635411624617,37.63464622080447,은평구,진관동
5905,보건시설,가톨릭대학교은평성모병원,126.91904926743425,37.63111802235583,은평구,진관동
5906,보건시설,가톨릭대학교은평성모병원,126.91910559661595,37.63094404874447,은평구,진관동
5907,보건시설,가톨릭대학교은평성모병원,126.91667300968392,37.6346523371727,은평구,진관동
5908,서비스산업,"효우빌딩비타와이영어,행복한마트",126.91849187230753,37.623287764638654,은평구,갈현1동
5909,보건시설,경희진한의원,126.91683776260788,37.623485183408825,은평구,갈현1동
5910,숙박시설,핑크모텔,126.91962428833828,37.62037804957643,은평구,갈현1동
5911,보건시설,하경빌딩함박웃음치과,126.91914827025795,37.61743532698127,은평구,갈현2동
5912,숙박시설,오블루게스트하우스,126.92121062201471,37.5606509634119,마포구,연남동
5913,숙박시설,버즈네스트호스텔,126.9214911743437,37.5612034457012,마포구,연남동
5914,숙박시설,타쿠스테이게스트하우스,126.92127705032654,37.56141587758644,마포구,연남동
5915,숙박시설,헬로우스트렌저게스트하우스,126.92123188388734,37.56181667761377,마포구,연남동
5916,숙박시설,케이북9게스트하우스,126.92235730395306,37.56146408111854,마포구,연남동
5917,숙박시설,1969게스트하우스,126.92342599920133,37.562309848202574,마포구,연남동
5918,보건시설,모래내약국,126.91495843224082,37.56959474735435,서대문구,남가좌1동
5919,보건시설,우리생한약국,126.91812173738697,37.61048943679608,은평구,역촌동
5920,문화/예술시설,세영갤러리,126.91765844744849,37.594639829135566,은평구,응암3동
5921,보건시설,아름빌딩기린약국,126.921702960759,37.607281522655235,은평구,역촌동
5922,숙박시설,대명모텔,126.9216910681509,37.606881222236474,은평구,역촌동
5923,보건시설,AI빌딩명신한의원,126.9181852876141,37.62355726455805,은평구,갈현1동
5924,지방행정기관,"갈현1동주민센터,갈현1동문화의집",126.91673738229585,37.62361872914317,은평구,갈현1동
5925,보건시설,서울미치과,126.91905671080973,37.62106825494237,은평구,갈현1동
5926,숙박시설,"태그게스트하우스,트릭아트게스트하우스",126.92393249506168,37.56201483972356,마포구,연남동
5927,숙박시설,파크애비뉴게스트하우스,126.92299272953471,37.562473622089705,마포구,연남동
5928,보건시설,에베네저빌딩연세하늘빛치과,126.9241782519196,37.56288413319466,마포구,연남동
5929,서비스산업,은평신문사,126.91663197651907,37.60259540610014,은평구,역촌동
5930,보건시설,청암빌딩동환약국,126.91642877105296,37.60012767611108,은평구,역촌동
5931,보건시설,김정균치과의원,126.92449650803299,37.60076612926674,은평구,응암1동
5932,숙박시설,몽모텔,126.92438327092519,37.600633639654106,은평구,응암1동
5933,서비스산업,독도시사신문,126.9217262588713,37.601734270087505,은평구,녹번동
5934,보건시설,대경성모약국,126.91844334574364,37.623504655390846,은평구,갈현1동
5935,보건시설,민생온누리약국,126.91889273349612,37.622859745894154,은평구,갈현1동
5936,보건시설,은빛약국,126.91947240286022,37.623477895353865,은평구,갈현1동
5937,숙박시설,훤게스트하우스,126.92068756001417,37.561461935745754,마포구,연남동
5938,숙박시설,홍대롯지게스트하우스,126.92114311457824,37.56097024035998,마포구,연남동
5939,보건시설,강북삼성요양병원주차기,126.92784585398279,37.566163078350236,서대문구,연희동
5940,보건시설,이엔치과의원,126.91682393013267,37.61077496717296,은평구,구산동
5941,보건시설,연세희망약국,126.9175529215713,37.61454476946567,은평구,갈현2동
5942,보건시설,인정빌딩연세알찬정형외과의원,126.91723981490632,37.613057352342324,은평구,갈현2동
5943,보건시설,노블요양병원,126.92120876916559,37.59847133345154,은평구,응암1동
5944,보건시설,청솔한의원,126.91819359599707,37.593388655652575,은평구,응암2동
5945,보건시설,한얼동물병원,126.91792455887035,37.592048943763615,은평구,응암2동
5946,보건시설,행복한약국,126.91835047320882,37.594094894952576,은평구,응암2동
5947,보건시설,태명빌딩다나한의원,126.918266022751,37.593723962235714,은평구,응암2동
5948,보건시설,연세노블병원,126.92447057193641,37.60405850011395,은평구,녹번동
5949,보건시설,라임의원,126.92375316766444,37.60096865965392,은평구,응암1동
5950,보건시설,두성빌딩서부한의원,126.92212116979196,37.600843011112886,은평구,응암1동
5951,보건시설,본서부병원,126.92260646054632,37.60074719425635,은평구,응암1동
5952,보건시설,우리본약국,126.92261552703911,37.60109784904379,은평구,응암1동
